2021-07-10 20:06:49,479 Read Config Success
2021-07-10 20:06:52,058 Wallet Connected
2021-07-10 20:07:25,975 Read Config Success
2021-07-10 20:07:27,889 Wallet Connected
2021-07-10 20:17:30,724 Read Config Success
2021-07-10 20:17:32,410 Wallet Connected
2021-07-10 20:33:31,468 Read Config Success
2021-07-10 20:33:33,942 Wallet Connected
2021-07-10 20:33:38,527 Please Input Buy Amount!
2021-07-10 20:33:44,932 Start Bot
2021-07-10 20:33:45,324 Waiting liquidity to be added
2021-07-10 20:34:41,079 Liquidity Added : 0xb2c0ca753c907ef7765dcb717f2933273b8096aee5ca0e870f4da9d6c05c6f4f
2021-07-10 20:34:41,080 Start Buy
2021-07-10 20:34:41,456 Wait until transaction completed...
2021-07-10 20:34:41,457 Buy transaction: 0xea3b89b36f40230aeca4d6504b3faeff6b5e25487dd4914f498643fca0ecc63b
2021-07-10 20:34:47,462 Buy transaction confirmed
2021-07-10 20:34:48,135 Checking the condition, current price:0.0031879, buy price:0.00318795
2021-07-10 20:34:48,641 Checking the condition, current price:0.0031879, buy price:0.00318795
2021-07-10 20:34:49,143 Checking the condition, current price:0.0031879, buy price:0.00318795
2021-07-10 20:34:49,664 Checking the condition, current price:0.0031879, buy price:0.00318795
2021-07-10 20:34:50,177 Checking the condition, current price:0.0031879, buy price:0.00318795
2021-07-10 20:34:50,689 Checking the condition, current price:0.0031879, buy price:0.00318795
2021-07-10 20:34:51,202 Checking the condition, current price:0.0031879, buy price:0.00318795
2021-07-10 20:34:51,704 Checking the condition, current price:0.00318793, buy price:0.00318795
2021-07-10 20:34:52,219 Checking the condition, current price:0.00318793, buy price:0.00318795
2021-07-10 20:34:52,732 Checking the condition, current price:0.00318793, buy price:0.00318795
2021-07-10 20:34:53,245 Checking the condition, current price:0.00318793, buy price:0.00318795
2021-07-10 20:34:53,759 Checking the condition, current price:0.00318793, buy price:0.00318795
2021-07-10 20:34:54,271 Checking the condition, current price:0.00318793, buy price:0.00318795
2021-07-10 20:34:54,787 Checking the condition, current price:0.00318793, buy price:0.00318795
2021-07-10 20:34:55,304 Checking the condition, current price:0.00318793, buy price:0.00318795
2021-07-10 20:34:55,812 Checking the condition, current price:0.00318793, buy price:0.00318795
2021-07-10 20:34:56,320 Checking the condition, current price:0.00318788, buy price:0.00318795
2021-07-10 20:34:56,828 Checking the condition, current price:0.00318788, buy price:0.00318795
