2021-07-10 21:24:44,285 Read Config Success
2021-07-10 21:24:47,064 Wallet Connected
2021-07-10 21:24:54,381 Start Bot
2021-07-10 21:25:11,578 Wait until transaction completed...
2021-07-10 21:25:11,582 Buy transaction: 0xb1183260a28eb01aca72080410fdf44db2f877b30ff4e6318ddeb8ce1771ca67
2021-07-10 21:25:16,235 Buy transaction confirmed
2021-07-10 21:25:16,802 Checking the condition, current price:0.00318598, buy price:0.00318601
2021-07-10 21:25:17,308 Checking the condition, current price:0.00318598, buy price:0.00318601
2021-07-10 21:25:17,820 Checking the condition, current price:0.00318598, buy price:0.00318601
2021-07-10 21:25:18,335 Checking the condition, current price:0.00318598, buy price:0.00318601
2021-07-10 21:25:18,843 Checking the condition, current price:0.00318598, buy price:0.00318601
2021-07-10 21:25:19,358 Checking the condition, current price:0.00318598, buy price:0.00318601
2021-07-10 21:25:19,873 Checking the condition, current price:0.00318598, buy price:0.00318601
2021-07-10 21:25:20,388 Checking the condition, current price:0.00318598, buy price:0.00318601
2021-07-10 21:25:20,890 Checking the condition, current price:0.00318598, buy price:0.00318601
2021-07-10 21:25:21,403 Checking the condition, current price:0.00318598, buy price:0.00318601
2021-07-10 21:25:21,904 Checking the condition, current price:0.00318598, buy price:0.00318601
2021-07-10 21:25:22,406 Checking the condition, current price:0.00318598, buy price:0.00318601
2021-07-10 21:25:22,913 Checking the condition, current price:0.00318599, buy price:0.00318601
2021-07-10 21:25:23,415 Checking the condition, current price:0.00318599, buy price:0.00318601
2021-07-10 21:25:23,916 Checking the condition, current price:0.00318599, buy price:0.00318601
2021-07-10 21:25:24,417 Checking the condition, current price:0.00318599, buy price:0.00318601
2021-07-10 21:25:24,946 Checking the condition, current price:0.00318599, buy price:0.00318601
2021-07-10 21:25:25,450 Checking the condition, current price:0.00318598, buy price:0.00318601
2021-07-10 21:25:25,963 Checking the condition, current price:0.00318598, buy price:0.00318601
2021-07-10 21:25:26,534 Checking the condition, current price:0.00318598, buy price:0.00318601
2021-07-10 21:25:27,045 Checking the condition, current price:0.00318598, buy price:0.00318601
2021-07-10 21:25:27,560 Checking the condition, current price:0.00318598, buy price:0.00318601
2021-07-10 21:25:28,062 Checking the condition, current price:0.00318598, buy price:0.00318601
2021-07-10 21:25:28,566 Checking the condition, current price:0.00318598, buy price:0.00318601
2021-07-10 21:25:29,080 Checking the condition, current price:0.00318601, buy price:0.00318601
2021-07-10 21:25:29,592 Checking the condition, current price:0.00318601, buy price:0.00318601
2021-07-10 21:25:30,101 Checking the condition, current price:0.00318601, buy price:0.00318601
2021-07-10 21:25:30,616 Checking the condition, current price:0.00318601, buy price:0.00318601
2021-07-10 21:25:31,127 Checking the condition, current price:0.00318601, buy price:0.00318601
2021-07-10 21:25:31,643 Checking the condition, current price:0.00318602, buy price:0.00318601
2021-07-10 21:25:32,156 Checking the condition, current price:0.00318602, buy price:0.00318601
2021-07-10 21:25:32,670 Checking the condition, current price:0.00318602, buy price:0.00318601
2021-07-10 21:25:33,183 Checking the condition, current price:0.00318602, buy price:0.00318601
2021-07-10 21:25:33,696 Checking the condition, current price:0.00318602, buy price:0.00318601
2021-07-10 21:25:34,214 Checking the condition, current price:0.00318602, buy price:0.00318601
2021-07-10 21:25:34,724 Checking the condition, current price:0.00318602, buy price:0.00318601
2021-07-10 21:25:35,236 Checking the condition, current price:0.00318607, buy price:0.00318601
2021-07-10 21:25:35,746 Checking the condition, current price:0.00318607, buy price:0.00318601
2021-07-10 21:25:36,261 Checking the condition, current price:0.00318607, buy price:0.00318601
2021-07-10 21:25:36,775 Checking the condition, current price:0.00318607, buy price:0.00318601
2021-07-10 21:25:37,276 Checking the condition, current price:0.00318607, buy price:0.00318601
2021-07-10 21:25:37,790 Checking the condition, current price:0.00318607, buy price:0.00318601
2021-07-10 21:25:38,305 Checking the condition, current price:0.00318607, buy price:0.00318601
2021-07-10 21:25:38,807 Checking the condition, current price:0.00318607, buy price:0.00318601
2021-07-10 21:25:39,307 Checking the condition, current price:0.00318607, buy price:0.00318601
2021-07-10 21:25:39,821 Checking the condition, current price:0.00318607, buy price:0.00318601
2021-07-10 21:25:40,334 Checking the condition, current price:0.00318607, buy price:0.00318601
2021-07-10 21:25:40,837 Checking the condition, current price:0.00318607, buy price:0.00318601
2021-07-10 21:25:41,351 Checking the condition, current price:0.00318611, buy price:0.00318601
2021-07-10 21:25:41,864 Checking the condition, current price:0.00318611, buy price:0.00318601
2021-07-10 21:25:42,378 Checking the condition, current price:0.00318611, buy price:0.00318601
2021-07-10 21:25:42,894 Checking the condition, current price:0.00318611, buy price:0.00318601
2021-07-10 21:25:43,407 Checking the condition, current price:0.00318611, buy price:0.00318601
2021-07-10 21:25:43,923 Checking the condition, current price:0.00318611, buy price:0.00318601
2021-07-10 21:25:44,432 Checking the condition, current price:0.00318611, buy price:0.00318601
2021-07-10 21:25:44,972 Checking the condition, current price:0.00318611, buy price:0.00318601
2021-07-10 21:25:45,476 Checking the condition, current price:0.00318611, buy price:0.00318601
2021-07-10 21:25:45,992 Checking the condition, current price:0.00318611, buy price:0.00318601
2021-07-10 21:25:46,501 Checking the condition, current price:0.00318611, buy price:0.00318601
2021-07-10 21:25:47,013 Checking the condition, current price:0.00318611, buy price:0.00318601
2021-07-10 21:25:47,526 Checking the condition, current price:0.00318611, buy price:0.00318601
2021-07-10 21:25:48,032 Checking the condition, current price:0.00318611, buy price:0.00318601
2021-07-10 21:25:48,548 Checking the condition, current price:0.00318611, buy price:0.00318601
2021-07-10 21:25:49,065 Checking the condition, current price:0.00318611, buy price:0.00318601
2021-07-10 21:25:49,574 Checking the condition, current price:0.00318611, buy price:0.00318601
2021-07-10 21:25:50,086 Checking the condition, current price:0.00318611, buy price:0.00318601
2021-07-10 21:25:50,601 Checking the condition, current price:0.00318611, buy price:0.00318601
2021-07-10 21:25:51,116 Checking the condition, current price:0.00318611, buy price:0.00318601
2021-07-10 21:25:51,631 Checking the condition, current price:0.00318611, buy price:0.00318601
2021-07-10 21:25:52,135 Checking the condition, current price:0.00318611, buy price:0.00318601
2021-07-10 21:25:52,645 Checking the condition, current price:0.0031861, buy price:0.00318601
2021-07-10 21:25:53,158 Checking the condition, current price:0.0031861, buy price:0.00318601
2021-07-10 21:25:53,670 Checking the condition, current price:0.0031861, buy price:0.00318601
2021-07-10 21:25:54,184 Checking the condition, current price:0.0031861, buy price:0.00318601
2021-07-10 21:25:54,685 Checking the condition, current price:0.0031861, buy price:0.00318601
2021-07-10 21:25:55,201 Checking the condition, current price:0.0031861, buy price:0.00318601
2021-07-10 21:25:55,708 Checking the condition, current price:0.00318607, buy price:0.00318601
2021-07-10 21:25:56,223 Checking the condition, current price:0.00318607, buy price:0.00318601
2021-07-10 21:25:56,724 Checking the condition, current price:0.00318607, buy price:0.00318601
2021-07-10 21:25:57,238 Checking the condition, current price:0.00318607, buy price:0.00318601
2021-07-10 21:25:57,751 Checking the condition, current price:0.00318607, buy price:0.00318601
2021-07-10 21:25:58,265 Checking the condition, current price:0.00318607, buy price:0.00318601
2021-07-10 21:25:58,768 Checking the condition, current price:0.00318607, buy price:0.00318601
2021-07-10 21:25:59,283 Checking the condition, current price:0.00318606, buy price:0.00318601
2021-07-10 21:25:59,797 Checking the condition, current price:0.00318606, buy price:0.00318601
2021-07-10 21:26:00,306 Checking the condition, current price:0.00318606, buy price:0.00318601
2021-07-10 21:26:00,814 Checking the condition, current price:0.00318606, buy price:0.00318601
2021-07-10 21:26:01,330 Checking the condition, current price:0.00318606, buy price:0.00318601
2021-07-10 21:26:01,844 Checking the condition, current price:0.00318606, buy price:0.00318601
2021-07-10 21:26:02,356 Checking the condition, current price:0.00318606, buy price:0.00318601
2021-07-10 21:26:02,870 Checking the condition, current price:0.00318606, buy price:0.00318601
2021-07-10 21:26:03,383 Checking the condition, current price:0.00318606, buy price:0.00318601
2021-07-10 21:26:03,894 Checking the condition, current price:0.00318606, buy price:0.00318601
2021-07-10 21:26:04,405 Checking the condition, current price:0.00318606, buy price:0.00318601
2021-07-10 21:26:04,958 Checking the condition, current price:0.00318606, buy price:0.00318601
2021-07-10 21:26:05,435 Checking the condition, current price:0.00318606, buy price:0.00318601
