2021-07-12 06:32:35,603 Read Config Success
2021-07-12 06:32:40,911 Wallet Connected
2021-07-12 06:35:38,424 Read Config Success
2021-07-12 06:35:39,717 Wallet Connected
2021-07-12 06:35:54,303 Start Bot
2021-07-12 06:35:56,626 Waiting Until Buy Confirm
2021-07-12 06:35:57,012 Buy transaction: 0x539966a9d9698be9364c83194cf4a54f304e6b941c8ca3af3ece069c567e9773
2021-07-12 06:35:57,634 Buy transaction: 0x25f03f99cea58ef9845234709cd6af999c71cee4f256cb2a96b1ba2c1361481e
2021-07-12 06:35:57,699 Buy transaction: 0xe7626563fefcd9401338becc5b7c172a085ed7726582a4eef83d0f9e33e160ac
2021-07-12 06:36:04,052 Buy transaction confirmed
2021-07-12 06:36:04,552 Checking the condition, current price:0.00304035, buy price:0.00304035
2021-07-12 06:36:05,376 Checking the condition, current price:0.00304035, buy price:0.00304035
2021-07-12 06:36:06,232 Checking the condition, current price:0.00304035, buy price:0.00304035
2021-07-12 06:36:07,062 Checking the condition, current price:0.00304035, buy price:0.00304035
2021-07-12 06:36:07,731 Checking the condition, current price:0.00304035, buy price:0.00304035
2021-07-12 06:36:08,047 Checking the condition, current price:0.00304035, buy price:0.00304035
2021-07-12 06:36:08,506 Checking the condition, current price:0.00304035, buy price:0.00304035
2021-07-12 06:36:08,772 Checking the condition, current price:0.00304035, buy price:0.00304035
2021-07-12 06:36:09,169 Checking the condition, current price:0.00304035, buy price:0.00304035
2021-07-12 06:36:09,406 Checking the condition, current price:0.00304035, buy price:0.00304035
2021-07-12 06:36:09,969 Checking the condition, current price:0.00304027, buy price:0.00304035
2021-07-12 06:36:10,235 Checking the condition, current price:0.00304027, buy price:0.00304035
2021-07-12 06:36:10,720 Checking the condition, current price:0.00304027, buy price:0.00304035
2021-07-12 06:36:10,958 Checking the condition, current price:0.00304027, buy price:0.00304035
2021-07-12 06:36:11,556 Checking the condition, current price:0.00304027, buy price:0.00304035
2021-07-12 06:36:11,847 Checking the condition, current price:0.00304027, buy price:0.00304035
2021-07-12 06:36:12,254 Checking the condition, current price:0.00304027, buy price:0.00304035
2021-07-12 06:36:12,502 Checking the condition, current price:0.00304027, buy price:0.00304035
2021-07-12 06:36:13,148 Checking the condition, current price:0.00304023, buy price:0.00304035
2021-07-12 06:36:13,495 Checking the condition, current price:0.00304023, buy price:0.00304035
2021-07-12 06:36:14,059 Checking the condition, current price:0.00304023, buy price:0.00304035
2021-07-12 06:36:14,430 Checking the condition, current price:0.00304023, buy price:0.00304035
2021-07-12 06:36:14,921 Checking the condition, current price:0.00304023, buy price:0.00304035
2021-07-12 06:36:15,271 Checking the condition, current price:0.00304023, buy price:0.00304035
2021-07-12 06:36:15,765 Checking the condition, current price:0.00304023, buy price:0.00304035
2021-07-12 06:36:16,151 Checking the condition, current price:0.00304023, buy price:0.00304035
2021-07-12 06:36:16,657 Checking the condition, current price:0.00304032, buy price:0.00304035
