2021-07-28 19:28:28,345 Read Config Success
2021-07-28 19:28:29,307 Wallet Connected
2021-07-28 19:28:30,828 Access Level Tier 3: Snipping,Max Speed:10, Auto Sells, Limit Sells, Limit Buys, Stop Loss
2021-07-28 19:28:37,788 Start Bot
2021-07-28 19:28:37,796 Token Address : 0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56, Presale Address : 
2021-07-28 19:28:37,796 Buy Amount : 1000000000000000.0, Sell Amount Percent : 100%, Sell Price : 0%
2021-07-28 19:28:38,226 Start Price:0.003173484423BNB
2021-07-28 19:28:38,473 Checking the condition, current price:100.0%
2021-07-28 19:28:39,762 Checking the condition, current price:100.0%
2021-07-28 19:28:40,504 Buy transaction: 0x72c70e3f0dcb9409cccba4bec44ee8dc074e4906a87c576cae032e61a7f3ae4f
2021-07-28 19:29:07,211 Buy transaction confirmed
2021-07-28 19:29:07,213 Waiting Sell Moment....
2021-07-28 19:29:07,639 Checking the condition, current price:100.0%
2021-07-28 19:29:08,359 Checking the condition, current price:100.0%
2021-07-28 19:29:09,223 Checking the condition, current price:100.0%
2021-07-28 19:29:09,977 Checking the condition, current price:99.9988%
2021-07-28 19:29:10,710 Checking the condition, current price:99.9988%
2021-07-28 19:29:11,468 Checking the condition, current price:99.9988%
2021-07-28 19:29:12,178 Checking the condition, current price:99.9988%
2021-07-28 19:29:12,901 Checking the condition, current price:99.99885%
2021-07-28 19:29:13,723 Checking the condition, current price:99.99885%
2021-07-28 19:29:14,508 Checking the condition, current price:99.99885%
2021-07-28 19:29:15,231 Checking the condition, current price:99.99885%
2021-07-28 19:29:15,956 Checking the condition, current price:99.99855%
2021-07-28 19:29:16,666 Checking the condition, current price:99.99855%
2021-07-28 19:29:17,388 Checking the condition, current price:99.99855%
2021-07-28 19:29:18,112 Checking the condition, current price:99.99855%
2021-07-28 19:29:18,860 Checking the condition, current price:99.99855%
2021-07-28 19:29:19,586 Checking the condition, current price:99.99875%
2021-07-28 19:29:20,333 Checking the condition, current price:99.99875%
2021-07-28 19:29:21,051 Checking the condition, current price:99.99875%
2021-07-28 19:29:21,765 Checking the condition, current price:99.9989%
2021-07-28 19:29:22,493 Checking the condition, current price:99.9989%
2021-07-28 19:29:23,226 Checking the condition, current price:99.9989%
2021-07-28 19:29:23,955 Checking the condition, current price:99.9989%
2021-07-28 19:29:24,724 Checking the condition, current price:99.99879%
2021-07-28 19:29:25,482 Checking the condition, current price:99.99879%
2021-07-28 19:29:26,209 Checking the condition, current price:99.99879%
2021-07-28 19:29:26,934 Checking the condition, current price:99.99879%
2021-07-28 19:29:27,728 Checking the condition, current price:99.99878%
2021-07-28 19:29:28,490 Checking the condition, current price:99.99878%
2021-07-28 19:29:29,220 Checking the condition, current price:99.99878%
2021-07-28 19:29:29,949 Checking the condition, current price:99.99878%
2021-07-28 19:29:30,758 Checking the condition, current price:99.99878%
2021-07-28 19:29:31,490 Checking the condition, current price:99.99865%
2021-07-28 19:29:32,213 Checking the condition, current price:99.99865%
2021-07-28 19:29:33,085 Checking the condition, current price:99.99865%
2021-07-28 19:29:33,887 Checking the condition, current price:100.00247%
2021-07-28 19:29:34,630 Checking the condition, current price:100.00247%
2021-07-28 19:29:35,468 Checking the condition, current price:100.00247%
2021-07-28 19:29:36,191 Checking the condition, current price:100.00247%
2021-07-28 19:29:36,910 Checking the condition, current price:100.00236%
2021-07-28 19:29:37,721 Checking the condition, current price:100.00236%
2021-07-28 19:29:38,458 Checking the condition, current price:100.00236%
2021-07-28 19:29:39,184 Checking the condition, current price:100.00236%
2021-07-28 19:29:39,910 Checking the condition, current price:100.00236%
2021-07-28 19:29:40,654 Checking the condition, current price:100.00236%
2021-07-28 19:29:41,425 Checking the condition, current price:100.00236%
2021-07-28 19:29:42,174 Checking the condition, current price:100.00236%
2021-07-28 19:29:42,971 Checking the condition, current price:100.0026%
2021-07-28 19:29:43,920 Checking the condition, current price:100.0026%
2021-07-28 19:29:44,776 Checking the condition, current price:100.0026%
2021-07-28 19:29:45,673 Checking the condition, current price:100.00343%
2021-07-28 19:29:46,445 Checking the condition, current price:100.00343%
2021-07-28 19:29:47,243 Checking the condition, current price:100.00343%
2021-07-28 19:29:48,103 Checking the condition, current price:100.00343%
2021-07-28 19:29:48,910 Checking the condition, current price:100.00325%
2021-07-28 19:29:49,763 Checking the condition, current price:100.00325%
2021-07-28 19:29:50,582 Checking the condition, current price:100.00325%
