2021-07-29 14:28:36,112 Read Config Success
2021-07-29 14:28:37,313 Wallet Connected
2021-07-29 14:28:39,326 Access Level Tier 3: Snipping,Max Speed:10, Auto Sells, Limit Sells, Limit Buys, Stop Loss
2021-07-29 14:30:26,107 Please Input Buy Amount!
2021-07-29 14:30:31,328 Start Bot
2021-07-29 14:30:31,333 Token Address : 0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56, Presale Address : 
2021-07-29 14:30:31,336 Buy Amount : 1000000000000000.0, Sell Amount Percent : 100%, Sell Price : 0%
2021-07-29 14:30:31,637 Waiting liquidity to be added
2021-07-29 14:30:36,110 Liquidity Added : 0x17033de81605effffaf3a482d99485d010f38ff9ac8e3640280a1dc8e8a3e71e
2021-07-29 14:30:36,522 Buy transaction: 0x6219af3cd4639f5e509425738eff0bc8233b28547133c7cba2e01fb08ca689da
2021-07-29 14:31:29,946 Buy transaction confirmed
2021-07-29 14:31:29,949 Waiting Sell Moment....
2021-07-29 14:31:30,351 Checking the condition, current price:100.0%
2021-07-29 14:31:31,253 Checking the condition, current price:100.0%
2021-07-29 14:31:32,133 Checking the condition, current price:99.99913%
2021-07-29 14:31:33,017 Checking the condition, current price:99.99913%
2021-07-29 14:31:33,888 Checking the condition, current price:99.99913%
2021-07-29 14:31:34,772 Checking the condition, current price:99.99947%
2021-07-29 14:31:35,666 Checking the condition, current price:99.99947%
2021-07-29 14:31:36,539 Checking the condition, current price:99.99947%
2021-07-29 14:31:37,417 Checking the condition, current price:99.99947%
2021-07-29 14:31:38,303 Checking the condition, current price:99.99957%
2021-07-29 14:31:39,176 Checking the condition, current price:99.99957%
2021-07-29 14:31:40,070 Checking the condition, current price:99.99957%
2021-07-29 14:31:40,941 Checking the condition, current price:100.00006%
2021-07-29 14:31:41,833 Checking the condition, current price:100.00006%
2021-07-29 14:31:42,738 Checking the condition, current price:100.00006%
2021-07-29 14:31:43,628 Checking the condition, current price:100.00006%
2021-07-29 14:31:44,455 Checking the condition, current price:100.00077%
2021-07-29 14:31:45,343 Checking the condition, current price:100.00077%
2021-07-29 14:31:46,237 Checking the condition, current price:100.00077%
2021-07-29 14:31:47,119 Checking the condition, current price:100.00077%
2021-07-29 14:31:47,995 Checking the condition, current price:100.00253%
2021-07-29 14:31:48,873 Checking the condition, current price:100.00253%
2021-07-29 14:31:49,760 Checking the condition, current price:100.00253%
2021-07-29 14:31:50,644 Checking the condition, current price:100.00256%
2021-07-29 14:31:51,532 Checking the condition, current price:100.00256%
2021-07-29 14:31:52,409 Checking the condition, current price:100.00256%
2021-07-29 14:31:53,295 Checking the condition, current price:100.00287%
2021-07-29 14:31:54,185 Checking the condition, current price:100.00287%
2021-07-29 14:31:54,959 Checking the condition, current price:100.00287%
2021-07-29 14:31:55,865 Checking the condition, current price:100.00287%
2021-07-29 14:31:56,754 Checking the condition, current price:100.00287%
2021-07-29 14:31:57,644 Checking the condition, current price:100.00287%
2021-07-29 14:31:58,547 Checking the condition, current price:100.00287%
2021-07-29 14:31:59,415 Checking the condition, current price:100.00937%
2021-07-29 14:32:00,293 Checking the condition, current price:100.00937%
2021-07-29 14:32:01,185 Checking the condition, current price:100.00937%
2021-07-29 14:32:02,077 Checking the condition, current price:100.00823%
2021-07-29 14:32:02,958 Checking the condition, current price:100.00823%
2021-07-29 14:32:03,850 Checking the condition, current price:100.00823%
2021-07-29 14:32:04,732 Checking the condition, current price:100.00823%
2021-07-29 14:32:05,501 Checking the condition, current price:100.007%
2021-07-29 14:32:07,010 Checking the condition, current price:100.007%
2021-07-29 14:32:08,518 Checking the condition, current price:99.99846%
2021-07-29 14:32:09,409 Checking the condition, current price:99.99846%
2021-07-29 14:32:10,284 Checking the condition, current price:99.99846%
2021-07-29 14:32:13,396 Checking the condition, current price:99.99846%
2021-07-29 14:32:14,286 Checking the condition, current price:99.98842%
2021-07-29 14:32:15,181 Checking the condition, current price:99.98842%
2021-07-29 14:32:15,991 Checking the condition, current price:99.98842%
2021-07-29 14:32:16,871 Checking the condition, current price:99.98854%
2021-07-29 14:32:18,380 Checking the condition, current price:99.98854%
2021-07-29 14:32:19,269 Checking the condition, current price:99.98854%
2021-07-29 14:32:20,181 Checking the condition, current price:99.98657%
2021-07-29 14:32:21,052 Checking the condition, current price:99.98657%
2021-07-29 14:32:21,938 Checking the condition, current price:99.98657%
2021-07-29 14:32:22,824 Checking the condition, current price:99.98652%
2021-07-29 14:32:23,713 Checking the condition, current price:99.98652%
2021-07-29 14:32:24,596 Checking the condition, current price:99.98652%
2021-07-29 14:32:26,116 Checking the condition, current price:99.98652%
2021-07-29 14:32:26,856 Checking the condition, current price:99.98652%
2021-07-29 14:32:27,702 Checking the condition, current price:99.98652%
2021-07-29 14:32:28,594 Checking the condition, current price:99.98652%
2021-07-29 14:32:29,485 Checking the condition, current price:99.98671%
2021-07-29 14:32:30,378 Checking the condition, current price:99.98671%
2021-07-29 14:32:31,256 Checking the condition, current price:99.98671%
2021-07-29 14:32:32,138 Checking the condition, current price:99.98571%
2021-07-29 14:32:33,024 Checking the condition, current price:99.98571%
2021-07-29 14:32:33,913 Checking the condition, current price:99.98571%
2021-07-29 14:32:34,803 Checking the condition, current price:99.98571%
2021-07-29 14:32:35,710 Checking the condition, current price:99.98534%
2021-07-29 14:32:36,598 Checking the condition, current price:99.98534%
2021-07-29 14:32:37,466 Checking the condition, current price:99.98534%
2021-07-29 14:32:38,339 Checking the condition, current price:99.9863%
2021-07-29 14:32:39,247 Checking the condition, current price:99.9863%
2021-07-29 14:32:40,146 Checking the condition, current price:99.9863%
2021-07-29 14:32:41,036 Checking the condition, current price:99.9863%
2021-07-29 14:32:41,938 Checking the condition, current price:99.98619%
2021-07-29 14:32:42,832 Checking the condition, current price:99.98619%
2021-07-29 14:32:43,735 Checking the condition, current price:99.98619%
2021-07-29 14:32:44,633 Checking the condition, current price:99.98593%
2021-07-29 14:32:45,537 Checking the condition, current price:99.98593%
2021-07-29 14:32:46,435 Checking the condition, current price:99.98593%
2021-07-29 14:32:47,321 Checking the condition, current price:99.98567%
2021-07-29 14:32:48,206 Checking the condition, current price:99.98567%
2021-07-29 14:32:49,098 Checking the condition, current price:99.98567%
2021-07-29 14:32:50,030 Checking the condition, current price:99.98779%
2021-07-29 14:32:50,925 Checking the condition, current price:99.98779%
2021-07-29 14:32:51,822 Checking the condition, current price:99.98779%
2021-07-29 14:32:52,709 Checking the condition, current price:99.98779%
2021-07-29 14:32:53,599 Checking the condition, current price:99.98847%
2021-07-29 14:32:56,431 Checking the condition, current price:99.98847%
2021-07-29 14:32:57,329 Checking the condition, current price:99.98774%
2021-07-29 14:32:58,224 Checking the condition, current price:99.98774%
2021-07-29 14:32:59,053 Checking the condition, current price:99.98774%
2021-07-29 14:32:59,933 Checking the condition, current price:99.98774%
2021-07-29 14:33:00,829 Checking the condition, current price:99.98128%
2021-07-29 14:33:01,718 Checking the condition, current price:99.98128%
2021-07-29 14:33:02,624 Checking the condition, current price:99.9815%
2021-07-29 14:33:03,537 Checking the condition, current price:99.9815%
2021-07-29 14:33:04,433 Checking the condition, current price:99.9815%
