2021-07-06 18:01:24,076 Read Config Success
2021-07-06 18:01:26,524 Wallet Connected
2021-07-06 18:01:36,416 Start Bot
2021-07-06 18:01:36,803 Waiting liquidity to be added
2021-07-06 18:02:52,161 Read Config Success
2021-07-06 18:02:54,234 Wallet Connected
2021-07-06 18:03:00,962 Start Bot
2021-07-06 18:03:01,342 Waiting liquidity to be added
2021-07-06 18:03:08,039 Liquidity Added : 0x30020cf0658ffabca59bc34cc875714e8b07f104990dcd8eb227d8e6bc898c96
2021-07-06 18:03:08,042 Start Buy
2021-07-06 18:03:08,412 Wait until transaction completed...
2021-07-06 18:03:08,417 Buy transaction: 0x0d6d8c75d052c81725d5a32a8eabcd6d165332d5c2a9dfcef7441415533caaa2
2021-07-06 18:03:10,362 Liquidity Added : 0x50dc65fbb7051ef7ede85b44fa878e6e7f98d1ddddded8214dc188068beed82f
2021-07-06 18:03:10,363 Start Buy
2021-07-06 18:03:10,933 Buy error: {'code': -32000, 'message': 'already known'}
2021-07-06 18:03:10,933 Retry ...
2021-07-06 18:03:15,659 Buy transaction confirmed
2021-07-06 18:03:16,385 Checking the condition, current price:0.00315331, buy price:0.0031533
2021-07-06 18:03:16,893 Checking the condition, current price:0.00315333, buy price:0.0031533
2021-07-06 18:03:17,409 Checking the condition, current price:0.00315333, buy price:0.0031533
2021-07-06 18:03:17,911 Checking the condition, current price:0.00315333, buy price:0.0031533
2021-07-06 18:03:18,424 Checking the condition, current price:0.00315333, buy price:0.0031533
2021-07-06 18:03:18,939 Checking the condition, current price:0.00315333, buy price:0.0031533
2021-07-06 18:03:19,440 Checking the condition, current price:0.00315333, buy price:0.0031533
2021-07-06 18:03:19,940 Checking the condition, current price:0.00315333, buy price:0.0031533
2021-07-06 18:03:20,448 Checking the condition, current price:0.00315333, buy price:0.0031533
2021-07-06 18:03:20,949 Checking the condition, current price:0.00315333, buy price:0.0031533
2021-07-06 18:03:21,463 Checking the condition, current price:0.00315333, buy price:0.0031533
2021-07-06 18:03:21,976 Checking the condition, current price:0.00315333, buy price:0.0031533
2021-07-06 18:03:22,479 Checking the condition, current price:0.00315333, buy price:0.0031533
2021-07-06 18:03:22,991 Checking the condition, current price:0.00315333, buy price:0.0031533
2021-07-06 18:03:23,505 Checking the condition, current price:0.00315333, buy price:0.0031533
2021-07-06 18:03:24,010 Checking the condition, current price:0.00315332, buy price:0.0031533
2021-07-06 18:03:24,523 Checking the condition, current price:0.00315332, buy price:0.0031533
2021-07-06 18:03:25,037 Checking the condition, current price:0.00315332, buy price:0.0031533
2021-07-06 18:03:25,538 Checking the condition, current price:0.00315332, buy price:0.0031533
2021-07-06 18:03:26,054 Checking the condition, current price:0.00315332, buy price:0.0031533
2021-07-06 18:03:26,566 Checking the condition, current price:0.00315332, buy price:0.0031533
2021-07-06 18:03:27,081 Checking the condition, current price:0.00315335, buy price:0.0031533
2021-07-06 18:03:27,593 Checking the condition, current price:0.00315335, buy price:0.0031533
2021-07-06 18:03:28,110 Checking the condition, current price:0.00315335, buy price:0.0031533
2021-07-06 18:03:28,622 Checking the condition, current price:0.00315335, buy price:0.0031533
2021-07-06 18:03:29,136 Checking the condition, current price:0.00315335, buy price:0.0031533
2021-07-06 18:03:29,651 Checking the condition, current price:0.00315333, buy price:0.0031533
2021-07-06 18:03:30,155 Checking the condition, current price:0.00315333, buy price:0.0031533
2021-07-06 18:03:30,656 Checking the condition, current price:0.00315333, buy price:0.0031533
2021-07-06 18:03:31,167 Checking the condition, current price:0.00315333, buy price:0.0031533
2021-07-06 18:03:31,679 Checking the condition, current price:0.00315333, buy price:0.0031533
2021-07-06 18:03:32,184 Checking the condition, current price:0.00315333, buy price:0.0031533
2021-07-06 18:03:32,699 Checking the condition, current price:0.00315333, buy price:0.0031533
2021-07-06 18:03:33,214 Checking the condition, current price:0.00315333, buy price:0.0031533
2021-07-06 18:03:33,720 Checking the condition, current price:0.00315333, buy price:0.0031533
2021-07-06 18:03:34,235 Checking the condition, current price:0.00315333, buy price:0.0031533
2021-07-06 18:03:34,748 Checking the condition, current price:0.00315333, buy price:0.0031533
2021-07-06 18:03:35,254 Checking the condition, current price:0.00315349, buy price:0.0031533
2021-07-06 18:03:35,758 Checking the condition, current price:0.00315349, buy price:0.0031533
2021-07-06 18:03:36,272 Checking the condition, current price:0.00315349, buy price:0.0031533
2021-07-06 18:03:36,785 Checking the condition, current price:0.00315349, buy price:0.0031533
2021-07-06 18:03:37,300 Checking the condition, current price:0.00315349, buy price:0.0031533
2021-07-06 18:03:37,814 Checking the condition, current price:0.00315349, buy price:0.0031533
2021-07-06 18:03:38,327 Checking the condition, current price:0.00315349, buy price:0.0031533
2021-07-06 18:03:38,830 Checking the condition, current price:0.00315349, buy price:0.0031533
2021-07-06 18:03:39,343 Checking the condition, current price:0.00315376, buy price:0.0031533
2021-07-06 18:03:39,854 Checking the condition, current price:0.00315376, buy price:0.0031533
2021-07-06 18:03:40,369 Checking the condition, current price:0.00315376, buy price:0.0031533
2021-07-06 18:03:40,884 Checking the condition, current price:0.00315376, buy price:0.0031533
2021-07-06 18:03:41,397 Checking the condition, current price:0.00315376, buy price:0.0031533
2021-07-06 18:03:41,911 Checking the condition, current price:0.00315412, buy price:0.0031533
2021-07-06 18:03:42,435 Checking the condition, current price:0.00315412, buy price:0.0031533
2021-07-06 18:03:42,936 Checking the condition, current price:0.00315412, buy price:0.0031533
2021-07-06 18:03:43,439 Checking the condition, current price:0.00315412, buy price:0.0031533
2021-07-06 18:03:43,940 Checking the condition, current price:0.00315412, buy price:0.0031533
2021-07-06 18:03:44,455 Checking the condition, current price:0.00315412, buy price:0.0031533
2021-07-06 18:03:44,969 Checking the condition, current price:0.00315412, buy price:0.0031533
2021-07-06 18:03:45,480 Checking the condition, current price:0.00315466, buy price:0.0031533
2021-07-06 18:03:45,993 Checking the condition, current price:0.00315466, buy price:0.0031533
2021-07-06 18:03:46,508 Checking the condition, current price:0.00315466, buy price:0.0031533
2021-07-06 18:03:47,018 Checking the condition, current price:0.00315466, buy price:0.0031533
2021-07-06 18:03:47,528 Checking the condition, current price:0.00315466, buy price:0.0031533
2021-07-06 18:03:48,032 Checking the condition, current price:0.00315466, buy price:0.0031533
2021-07-06 18:03:48,535 Checking the condition, current price:0.00315466, buy price:0.0031533
2021-07-06 18:03:49,051 Checking the condition, current price:0.00315466, buy price:0.0031533
2021-07-06 18:03:49,564 Checking the condition, current price:0.00315466, buy price:0.0031533
2021-07-06 18:03:50,077 Checking the condition, current price:0.00315466, buy price:0.0031533
2021-07-06 18:03:50,599 Checking the condition, current price:0.00315466, buy price:0.0031533
2021-07-06 18:03:51,107 Checking the condition, current price:0.00315466, buy price:0.0031533
2021-07-06 18:03:51,623 Checking the condition, current price:0.00315466, buy price:0.0031533
2021-07-06 18:03:52,138 Checking the condition, current price:0.00315466, buy price:0.0031533
2021-07-06 18:03:52,650 Checking the condition, current price:0.00315466, buy price:0.0031533
2021-07-06 18:03:53,164 Checking the condition, current price:0.0031549, buy price:0.0031533
2021-07-06 18:03:53,679 Checking the condition, current price:0.0031549, buy price:0.0031533
2021-07-06 18:03:54,179 Checking the condition, current price:0.0031549, buy price:0.0031533
2021-07-06 18:03:54,693 Checking the condition, current price:0.0031549, buy price:0.0031533
2021-07-06 18:03:55,209 Checking the condition, current price:0.0031549, buy price:0.0031533
2021-07-06 18:03:55,721 Checking the condition, current price:0.0031549, buy price:0.0031533
2021-07-06 18:03:56,221 Checking the condition, current price:0.00315495, buy price:0.0031533
2021-07-06 18:03:56,722 Checking the condition, current price:0.00315495, buy price:0.0031533
2021-07-06 18:03:57,236 Checking the condition, current price:0.00315495, buy price:0.0031533
2021-07-06 18:03:57,750 Checking the condition, current price:0.00315495, buy price:0.0031533
2021-07-06 18:03:58,264 Checking the condition, current price:0.00315495, buy price:0.0031533
2021-07-06 18:03:58,779 Checking the condition, current price:0.00315495, buy price:0.0031533
2021-07-06 18:03:59,294 Checking the condition, current price:0.00315495, buy price:0.0031533
2021-07-06 18:03:59,819 Checking the condition, current price:0.00315495, buy price:0.0031533
2021-07-06 18:04:00,325 Checking the condition, current price:0.00315526, buy price:0.0031533
2021-07-06 18:04:00,838 Checking the condition, current price:0.00315526, buy price:0.0031533
2021-07-06 18:04:01,353 Checking the condition, current price:0.00315526, buy price:0.0031533
2021-07-06 18:04:01,868 Checking the condition, current price:0.00315526, buy price:0.0031533
2021-07-06 18:04:02,382 Checking the condition, current price:0.00315535, buy price:0.0031533
2021-07-06 18:04:02,883 Checking the condition, current price:0.00315535, buy price:0.0031533
2021-07-06 18:04:03,384 Checking the condition, current price:0.00315535, buy price:0.0031533
2021-07-06 18:04:03,897 Checking the condition, current price:0.00315535, buy price:0.0031533
2021-07-06 18:04:04,407 Checking the condition, current price:0.00315535, buy price:0.0031533
2021-07-06 18:04:04,912 Checking the condition, current price:0.00315535, buy price:0.0031533
2021-07-06 18:04:05,428 Checking the condition, current price:0.00315535, buy price:0.0031533
2021-07-06 18:04:05,940 Checking the condition, current price:0.00315535, buy price:0.0031533
2021-07-06 18:04:06,455 Checking the condition, current price:0.00315554, buy price:0.0031533
2021-07-06 18:04:06,970 Checking the condition, current price:0.00315554, buy price:0.0031533
2021-07-06 18:04:07,484 Checking the condition, current price:0.00315554, buy price:0.0031533
2021-07-06 18:04:07,997 Checking the condition, current price:0.00315554, buy price:0.0031533
2021-07-06 18:04:08,509 Checking the condition, current price:0.00315554, buy price:0.0031533
2021-07-06 18:04:09,016 Checking the condition, current price:0.00315554, buy price:0.0031533
2021-07-06 18:04:09,594 Checking the condition, current price:0.00315554, buy price:0.0031533
2021-07-06 18:04:10,075 Checking the condition, current price:0.00315554, buy price:0.0031533
2021-07-06 18:04:10,591 Checking the condition, current price:0.00315555, buy price:0.0031533
2021-07-06 18:04:11,101 Checking the condition, current price:0.00315469, buy price:0.0031533
2021-07-06 18:04:11,601 Checking the condition, current price:0.00315469, buy price:0.0031533
2021-07-06 18:04:12,116 Checking the condition, current price:0.00315469, buy price:0.0031533
2021-07-06 18:04:12,626 Checking the condition, current price:0.00315469, buy price:0.0031533
2021-07-06 18:04:13,130 Checking the condition, current price:0.00315469, buy price:0.0031533
2021-07-06 18:04:13,633 Checking the condition, current price:0.00315469, buy price:0.0031533
2021-07-06 18:04:14,141 Checking the condition, current price:0.00315502, buy price:0.0031533
2021-07-06 18:04:14,644 Checking the condition, current price:0.00315502, buy price:0.0031533
2021-07-06 18:04:15,145 Checking the condition, current price:0.00315502, buy price:0.0031533
2021-07-06 18:04:15,660 Checking the condition, current price:0.00315502, buy price:0.0031533
2021-07-06 18:04:16,185 Checking the condition, current price:0.00315502, buy price:0.0031533
2021-07-06 18:04:16,692 Checking the condition, current price:0.00315502, buy price:0.0031533
2021-07-06 18:04:17,195 Checking the condition, current price:0.00315502, buy price:0.0031533
2021-07-06 18:04:17,710 Checking the condition, current price:0.00315501, buy price:0.0031533
2021-07-06 18:04:18,212 Checking the condition, current price:0.00315501, buy price:0.0031533
2021-07-06 18:04:18,715 Checking the condition, current price:0.00315501, buy price:0.0031533
2021-07-06 18:04:19,224 Checking the condition, current price:0.00315501, buy price:0.0031533
2021-07-06 18:04:19,723 Checking the condition, current price:0.00315501, buy price:0.0031533
2021-07-06 18:04:20,229 Checking the condition, current price:0.00315501, buy price:0.0031533
2021-07-06 18:04:20,737 Checking the condition, current price:0.00315501, buy price:0.0031533
2021-07-06 18:04:21,253 Checking the condition, current price:0.00315501, buy price:0.0031533
2021-07-06 18:04:21,755 Checking the condition, current price:0.00315525, buy price:0.0031533
2021-07-06 18:04:22,257 Checking the condition, current price:0.00315525, buy price:0.0031533
2021-07-06 18:04:22,759 Checking the condition, current price:0.00315525, buy price:0.0031533
2021-07-06 18:04:23,265 Checking the condition, current price:0.00315525, buy price:0.0031533
2021-07-06 18:04:23,770 Checking the condition, current price:0.00315537, buy price:0.0031533
2021-07-06 18:04:24,273 Checking the condition, current price:0.00315537, buy price:0.0031533
2021-07-06 18:04:24,787 Checking the condition, current price:0.00315537, buy price:0.0031533
2021-07-06 18:04:25,287 Checking the condition, current price:0.00315537, buy price:0.0031533
2021-07-06 18:04:25,801 Checking the condition, current price:0.00315537, buy price:0.0031533
2021-07-06 18:04:26,316 Checking the condition, current price:0.00315537, buy price:0.0031533
2021-07-06 18:04:26,832 Checking the condition, current price:0.00315537, buy price:0.0031533
2021-07-06 18:04:27,345 Checking the condition, current price:0.00315538, buy price:0.0031533
2021-07-06 18:04:27,846 Checking the condition, current price:0.00315538, buy price:0.0031533
2021-07-06 18:04:28,362 Checking the condition, current price:0.00315538, buy price:0.0031533
2021-07-06 18:04:28,864 Checking the condition, current price:0.00315538, buy price:0.0031533
2021-07-06 18:04:29,376 Checking the condition, current price:0.00315538, buy price:0.0031533
2021-07-06 18:04:29,877 Checking the condition, current price:0.00315538, buy price:0.0031533
2021-07-06 18:04:30,391 Checking the condition, current price:0.00315538, buy price:0.0031533
2021-07-06 18:04:30,891 Checking the condition, current price:0.00315538, buy price:0.0031533
2021-07-06 18:04:31,396 Checking the condition, current price:0.00315538, buy price:0.0031533
2021-07-06 18:04:31,909 Checking the condition, current price:0.00315538, buy price:0.0031533
2021-07-06 18:04:32,424 Checking the condition, current price:0.00315538, buy price:0.0031533
2021-07-06 18:04:32,968 Checking the condition, current price:0.00315538, buy price:0.0031533
2021-07-06 18:04:33,470 Checking the condition, current price:0.00315538, buy price:0.0031533
2021-07-06 18:04:33,981 Checking the condition, current price:0.00315538, buy price:0.0031533
2021-07-06 18:04:34,482 Checking the condition, current price:0.00315538, buy price:0.0031533
2021-07-06 18:04:34,981 Checking the condition, current price:0.00315538, buy price:0.0031533
2021-07-06 18:04:35,488 Checking the condition, current price:0.00315538, buy price:0.0031533
2021-07-06 18:04:36,001 Checking the condition, current price:0.00315547, buy price:0.0031533
2021-07-06 18:04:36,508 Checking the condition, current price:0.00315547, buy price:0.0031533
2021-07-06 18:04:37,015 Checking the condition, current price:0.00315547, buy price:0.0031533
2021-07-06 18:04:37,531 Checking the condition, current price:0.00315547, buy price:0.0031533
2021-07-06 18:04:38,042 Checking the condition, current price:0.00315547, buy price:0.0031533
2021-07-06 18:04:38,549 Checking the condition, current price:0.00315547, buy price:0.0031533
2021-07-06 18:04:39,052 Checking the condition, current price:0.00315547, buy price:0.0031533
2021-07-06 18:04:39,555 Checking the condition, current price:0.00315546, buy price:0.0031533
2021-07-06 18:04:40,060 Checking the condition, current price:0.00315546, buy price:0.0031533
2021-07-06 18:04:40,561 Checking the condition, current price:0.00315546, buy price:0.0031533
2021-07-06 18:04:41,067 Checking the condition, current price:0.00315546, buy price:0.0031533
2021-07-06 18:04:41,582 Checking the condition, current price:0.00315547, buy price:0.0031533
2021-07-06 18:04:42,085 Checking the condition, current price:0.00315547, buy price:0.0031533
2021-07-06 18:04:42,584 Checking the condition, current price:0.00315547, buy price:0.0031533
2021-07-06 18:04:43,099 Checking the condition, current price:0.00315547, buy price:0.0031533
2021-07-06 18:04:43,612 Checking the condition, current price:0.00315547, buy price:0.0031533
2021-07-06 18:04:44,116 Checking the condition, current price:0.00315547, buy price:0.0031533
2021-07-06 18:04:44,630 Checking the condition, current price:0.00315547, buy price:0.0031533
2021-07-06 18:04:45,134 Checking the condition, current price:0.00315547, buy price:0.0031533
2021-07-06 18:04:45,636 Checking the condition, current price:0.00315547, buy price:0.0031533
2021-07-06 18:04:46,152 Checking the condition, current price:0.00315547, buy price:0.0031533
2021-07-06 18:04:46,665 Checking the condition, current price:0.00315547, buy price:0.0031533
2021-07-06 18:04:47,176 Checking the condition, current price:0.00315547, buy price:0.0031533
2021-07-06 18:04:47,690 Checking the condition, current price:0.00315547, buy price:0.0031533
2021-07-06 18:04:48,206 Checking the condition, current price:0.00315547, buy price:0.0031533
2021-07-06 18:04:48,718 Checking the condition, current price:0.00315547, buy price:0.0031533
2021-07-06 18:04:49,226 Checking the condition, current price:0.00315546, buy price:0.0031533
2021-07-06 18:04:49,727 Checking the condition, current price:0.00315546, buy price:0.0031533
2021-07-06 18:04:50,245 Checking the condition, current price:0.00315545, buy price:0.0031533
2021-07-06 18:04:50,758 Checking the condition, current price:0.00315545, buy price:0.0031533
2021-07-06 18:04:51,259 Checking the condition, current price:0.00315545, buy price:0.0031533
2021-07-06 18:04:51,761 Checking the condition, current price:0.00315545, buy price:0.0031533
2021-07-06 18:07:34,749 Read Config Success
2021-07-06 18:07:40,960 Wallet Connected
2021-07-06 18:10:02,660 Read Config Success
2021-07-06 18:10:06,969 Wallet Connected
2021-07-06 18:10:17,182 Start Bot
2021-07-06 18:10:17,568 Waiting liquidity to be added
2021-07-06 18:10:36,680 Liquidity Added : 0x038c3998ec09461c965cc5604348ae3849b1b1e5249e2aa536871b5dfbb7b439
2021-07-06 18:10:36,685 Start Buy
2021-07-06 18:10:37,269 Wait until transaction completed...
2021-07-06 18:10:37,269 Buy transaction: 0x1e8cea38e0165574bf00982e60f9e91c9667cf67106612645217714ba9085883
2021-07-06 18:10:44,330 Buy transaction confirmed
2021-07-06 18:10:45,250 Checking the condition, current price:0.00316925, buy price:0.00316909
2021-07-06 18:10:45,763 Checking the condition, current price:0.00316925, buy price:0.00316909
2021-07-06 18:10:46,275 Checking the condition, current price:0.00316925, buy price:0.00316909
2021-07-06 18:10:46,797 Checking the condition, current price:0.00316925, buy price:0.00316909
2021-07-06 18:10:47,296 Checking the condition, current price:0.00316925, buy price:0.00316909
2021-07-06 18:10:47,798 Checking the condition, current price:0.00316925, buy price:0.00316909
2021-07-06 18:10:48,307 Checking the condition, current price:0.00316925, buy price:0.00316909
2021-07-06 18:10:48,812 Checking the condition, current price:0.00316925, buy price:0.00316909
2021-07-06 18:10:49,316 Checking the condition, current price:0.00316925, buy price:0.00316909
2021-07-06 18:10:49,819 Checking the condition, current price:0.00316925, buy price:0.00316909
2021-07-06 18:10:50,331 Checking the condition, current price:0.00316925, buy price:0.00316909
