2021-07-08 22:25:31,703 Read Config Success
2021-07-08 22:25:34,760 Wallet Connected
2021-07-08 22:25:49,134 Start Bot
2021-07-08 22:25:49,497 Waiting liquidity to be added
2021-07-08 22:28:42,054 Read Config Success
2021-07-08 22:28:44,265 Wallet Connected
2021-07-08 22:28:54,125 Start Bot
2021-07-08 22:28:54,485 Waiting liquidity to be added
2021-07-08 22:29:25,622 Read Config Success
2021-07-08 22:29:27,556 Wallet Connected
2021-07-08 22:29:37,223 Start Bot
2021-07-08 22:29:37,596 Waiting liquidity to be added
2021-07-08 22:31:16,663 Liquidity Added : 0x749a1ad7186fec74a6b3442a5b87d3a24ff666f28c51c1c02d853ad0870355b7
2021-07-08 22:31:16,663 Start Buy
2021-07-08 22:31:20,761 Wait until transaction completed...
2021-07-08 22:31:20,764 Buy transaction: 0xfac154cbd471b48597b8c78351f7ffa62731f694db45b31528b2ed6151e1f9dc
2021-07-08 22:31:26,889 Buy transaction confirmed
2021-07-08 22:31:27,608 Checking the condition, current price:0.00316356, buy price:0.00316344
2021-07-08 22:31:28,117 Checking the condition, current price:0.00316356, buy price:0.00316344
2021-07-08 22:31:28,621 Checking the condition, current price:0.00316356, buy price:0.00316344
2021-07-08 22:31:29,136 Checking the condition, current price:0.00316355, buy price:0.00316344
2021-07-08 22:31:29,653 Checking the condition, current price:0.00316355, buy price:0.00316344
2021-07-08 22:31:30,151 Checking the condition, current price:0.00316355, buy price:0.00316344
2021-07-08 22:31:30,654 Checking the condition, current price:0.00316355, buy price:0.00316344
2021-07-08 22:31:31,164 Checking the condition, current price:0.00316355, buy price:0.00316344
2021-07-08 22:31:31,679 Checking the condition, current price:0.00316355, buy price:0.00316344
2021-07-08 22:31:32,182 Checking the condition, current price:0.00316355, buy price:0.00316344
2021-07-08 22:31:32,696 Checking the condition, current price:0.00316355, buy price:0.00316344
2021-07-08 22:31:33,197 Checking the condition, current price:0.00316355, buy price:0.00316344
2021-07-08 22:31:33,713 Checking the condition, current price:0.00316355, buy price:0.00316344
2021-07-08 22:31:34,227 Checking the condition, current price:0.00316355, buy price:0.00316344
2021-07-08 22:31:34,728 Checking the condition, current price:0.00316355, buy price:0.00316344
2021-07-08 22:31:35,229 Checking the condition, current price:0.00316355, buy price:0.00316344
2021-07-08 22:31:35,731 Checking the condition, current price:0.00316355, buy price:0.00316344
2021-07-08 22:31:36,233 Checking the condition, current price:0.00316355, buy price:0.00316344
2021-07-08 22:31:36,745 Checking the condition, current price:0.00316355, buy price:0.00316344
2021-07-08 22:31:37,259 Checking the condition, current price:0.00316355, buy price:0.00316344
2021-07-08 22:31:37,768 Checking the condition, current price:0.00316355, buy price:0.00316344
2021-07-08 22:31:38,284 Checking the condition, current price:0.00316355, buy price:0.00316344
2021-07-08 22:31:38,796 Checking the condition, current price:0.00316355, buy price:0.00316344
2021-07-08 22:31:39,299 Checking the condition, current price:0.00316355, buy price:0.00316344
2021-07-08 22:31:39,811 Checking the condition, current price:0.00316355, buy price:0.00316344
2021-07-08 22:31:40,316 Checking the condition, current price:0.00316355, buy price:0.00316344
2021-07-08 22:31:40,827 Checking the condition, current price:0.00316355, buy price:0.00316344
2021-07-08 22:31:41,333 Checking the condition, current price:0.00316355, buy price:0.00316344
2021-07-08 22:31:41,850 Checking the condition, current price:0.00316353, buy price:0.00316344
